Student ID,Student Name,Password,Islamic Studies,Arabic Language,English Language,Mathematics,General Science,Social Studies,Physical Education,Visual Arts,Music Arts,Total Marks
OM044,ياسر بن عبدالله Al Muqbali,421611,85,100,74,77,73,61,89,0,27,586
OM045,حسن بن حمود Al Kathiri,944028,14,8,27,16,96,50,56,57,14,338
OM046,أحمد بن عبدالله Al Farsi,284373,43,100,21,82,27,10,74,82,95,534
OM047,ناصر بن محمد Al Bakri,835624,55,22,4,75,49,11,99,89,95,499
OM048,زيد بن أحمد Al Hadidi,755009,58,80,57,51,2,11,34,26,45,364
OM049,محمد بن أحمد Al Nabhani,891196,70,28,54,25,43,76,89,16,5,406
OM050,بدر بن طارق Al Rashedi,576136,72,78,59,9,99,36,94,95,98,640
OM051,علي بن سعيد Al Kathiri,402897,61,96,21,18,55,58,30,67,63,469
OM052,سالم بن مروان Al Baluchi,396401,30,91,22,7,30,8,50,84,5,327
OM053,محمد بن علي Al Jabri,753458,25,70,85,5,55,27,79,93,11,450
OM054,مروان بن طارق Al Nabhani,734785,86,80,6,61,6,66,77,3,87,472
OM055,ناصر بن حسن Al Musalmi,152877,87,58,16,25,97,3,76,25,1,388
OM056,مروان بن حسن Al Amri,777014,21,82,80,54,54,54,3,18,10,376
OM057,زيد بن ماجد Al Mandhari,270186,47,18,82,94,20,21,11,96,31,420
OM058,فهد بن فهد Al Balushi,895531,12,79,26,23,15,48,47,15,66,331
OM059,ياسر بن ياسر Al Amri,473105,1,48,49,10,35,18,58,32,3,254
OM060,محمد بن علي Al Maqbali,930260,96,95,68,11,46,21,42,80,68,527
OM061,ياسر بن فهد Al Zadjali,849211,5,25,15,96,63,94,71,40,51,460
OM062,سيف بن ناصر Al Bayani,705243,96,42,26,34,26,99,53,64,75,515
OM063,حمود بن حسن Al Shukaili,412163,46,36,35,43,59,58,4,48,27,356
OM064,علي بن ماجد Al Ghafri,463233,99,62,81,95,84,1,97,85,36,640
OM065,خالد بن فهد Al Hajari,570430,42,86,53,79,89,39,77,79,10,554
OM066,سيف بن سليمان Al Qamish,435438,17,5,32,34,45,81,21,14,87,336
OM067,فيصل بن فهد Al Ajmi,153428,85,12,15,38,96,6,23,39,74,388
OM068,ماجد بن سليمان Al Muharrami,306548,83,12,8,34,44,59,98,31,11,380
OM069,سالم بن علي Al Barwani,867980,19,52,56,100,7,48,63,92,88,525
OM070,زيد بن زيد Al Hajri,251516,11,32,78,25,100,13,61,43,78,441
OM071,طارق بن مروان Al Zadjali,351495,46,21,70,62,91,98,78,54,33,553
OM072,عبدالله بن بدر Al Shuaili,935153,18,87,1,19,49,15,60,86,43,378
OM073,أحمد بن ياسر Al Ajmi,304677,1,100,68,81,30,19,35,1,17,352
OM074,زيد بن طارق Al Hajri,447741,64,9,10,19,3,76,72,0,77,330
OM075,سليمان بن محمد Al Jabri,618199,79,43,29,37,25,73,15,75,40,416
OM076,أحمد بن سالم Al Zubairi,622356,26,38,11,27,20,89,1,64,79,355
OM077,سيف بن خالد Al Hajri,640678,37,38,26,19,82,45,27,83,48,405
OM078,أحمد بن حمود Al Mandhari,965469,85,24,13,85,91,34,72,39,23,466
OM079,طارق بن محمد Al Shuaili,259938,22,97,81,19,24,45,6,48,66,408
OM080,سعيد بن طارق Al Zadjali,340405,4,10,16,65,2,96,96,57,93,439
OM081,سالم بن خالد Al Shukaili,309669,54,76,83,89,88,15,85,26,69,585
OM082,زيد بن خالد Al Baluchi,325902,82,62,77,45,45,90,70,20,69,560
OM083,سعيد بن زيد Al Zadjali,866015,7,30,86,57,67,94,67,5,34,447
OM084,خالد بن طارق Al Hajari,453092,25,41,29,50,22,94,76,94,26,457
OM085,علي بن حسن Al Baluchi,321740,62,36,7,31,24,37,12,90,49,348
OM086,أحمد بن سليمان Al Wahibi,567301,76,20,84,8,58,13,86,85,4,434
OM087,ماجد بن علي Al Raisi,510587,94,16,17,96,2,10,24,85,2,346
OM088,علي بن فيصل Al Azri,524716,5,12,62,35,55,90,34,88,7,388
OM089,حسن بن فهد Al Aufi,124862,96,2,85,57,58,33,29,50,12,422
OM090,حسن بن ناصر Al Hadidi,994936,78,52,9,23,72,50,86,10,13,393
OM091,محمد بن سيف Al Fannah,172700,32,99,10,40,25,27,78,54,62,427
OM092,أحمد بن زيد Al Hadhrami,723296,14,52,99,61,46,2,35,78,14,401
OM093,خالد بن محمد Al Riyami,693015,52,60,39,98,20,18,10,25,5,327
OM094,مروان بن بدر Al Mahraji,126943,71,95,60,14,77,2,84,48,40,491
OM095,حسن بن سيف Al Barwani,463836,21,49,43,43,45,98,65,96,54,514
OM096,ماجد بن ياسر Al Hajari,895540,15,35,86,89,49,9,5,16,20,324
OM097,سليمان بن فيصل Al Mandhari,268133,67,70,49,50,28,34,52,7,10,367
OM098,ياسر بن ياسر Al Shamsi,299453,6,55,62,64,21,0,94,63,94,459
OM099,ياسر بن ماجد Al Jabri,905436,14,13,36,33,42,50,30,44,52,314
OM100,سالم بن سليمان Al Mahruqi,581467,7,6,72,72,73,79,93,28,12,442
